noise_mad,noise_wavelet,noise_laplacian,time_calculate_noise_features,edge_density,edge_strength,time_calculate_edge_features,print_pattern_energy,print_pattern_variance,time_calculate_print_pattern_features,ela_mean,ela_variance,time_calculate_ela,saturation_variance,value_variance,time_calculate_color_features,histogram_entropy,histogram_spread,time_calculate_histogram_features,high_freq_energy,moire_score,halftone_score,time_analyze_frequency_domain,page,type
1.0,0.0,72.44700146743627,0.31318419999979596,0.03534542021177333,35.76643535374243,0.17763240000022051,210.53584289460943,426.0023871336635,0.2601366999997481,0.45574446096704463,0.6073706205031689,0.2841849999999795,0.0,2717.922379522493,0.10750059999963923,4.256802558898926,256.0,0.0022573999999622174,174.13839256743827,253.84730748228304,104.0,0.18585880000000543,2,original
11.0,2.0966843029993742,294.28036536731304,0.34364159999995536,0.09862182910260174,66.09305843487635,0.16803669999990234,212.82690994264863,341.6405936080572,0.2191754000000401,1.0115445955029214,1.2949388578102705,0.28415799999993396,0.0,2636.9937403211925,0.10335470000018177,6.635819435119629,256.0,0.0025038999997377687,184.96585520129554,248.3363224186453,106.0,0.16617670000005091,3,original
5.0,1.0483421514997082,18.383940229114426,0.37576290000015433,0.0037821070184744813,16.372985379084966,0.1657521000001907,187.7501178618829,368.86050857900244,0.28214310000021214,0.5413743770493208,0.42695965342456366,0.2649483999998665,0.0,224.0052362142384,0.1007104000000254,4.712204933166504,256.0,0.0016095000000859727,159.05218539469752,228.70881392820073,88.0,0.17692630000010467,4,original
10.0,1.0483421514997082,163.5879745892695,0.35967770000024757,0.08329431018737296,57.40283233874274,0.1684362000000874,211.82922737299987,365.6554627028998,0.26904000000013184,0.8427085251773054,0.9399642651300147,0.2765639999997802,0.0,2604.9438965787485,0.10213479999993069,6.471055507659912,254.0,0.0014455000000452856,179.19519053328665,248.06162900881054,111.0,0.17650509999975839,5,original
5.0,1.0483421514997082,17.686161034688464,0.34133220000012443,0.006071722226221335,16.516827270660375,0.15953639999997904,188.94448520298576,378.1515334465919,0.19551180000007662,0.5135094780160061,0.3952475653201912,0.2674158999998326,0.0,190.60058894125115,0.09938839999995253,4.797946929931641,235.0,0.0016992999999274616,158.5477608181992,228.2584586450443,99.0,0.17585019999978613,6,original
4.0,0.0,84.17627639081645,0.3122343000000001,0.02240160150113258,29.67058266152123,0.16009310000026744,205.3984758698415,377.86700991278394,0.27362489999995887,0.4874343563568963,0.5415102784737004,0.27537049999955343,0.0,1364.1017391467024,0.10492149999981848,4.6690754890441895,256.0,0.0018161000002692163,170.42728203736164,243.47379678678826,106.0,0.15122169999995094,7,original
0.0,0.0,7.753189615835009,0.29397149999977046,0.003642608172966792,6.145269878603172,0.15099569999983942,183.18206199164382,403.32435528132845,0.28156699999999546,0.17462436569619025,0.18903546627282827,0.26313400000026377,0.0,134.3165671899603,0.10683709999966595,2.2783620357513428,255.0,0.0026484999998501735,149.3531149639412,227.0182128361201,83.0,0.1585259000003134,8,original
2.0,0.0,45.90456091406306,0.29407450000007884,0.016994449590196255,21.291550403083072,0.15646360000027926,199.39633326886076,379.4356216516296,0.2263557999999648,0.4277547350896947,0.5047640530021759,0.2758860000003551,0.0,729.0893464104171,0.10338519999959317,4.195411682128906,256.0,0.0022435000000768923,169.3624668608104,237.11155156062182,104.0,0.18690349999997125,9,original
0.0,0.0,9.07906939450311,0.27911109999968176,0.003325248523471106,4.86270967406395,0.14960460000020248,183.8079520830204,428.86902944878705,0.2499017999998614,0.12826439418950528,0.1511692824144492,0.26797579999993104,0.0,136.22400964696402,0.10882169999968028,1.855730652809143,256.0,0.0020938000002388435,150.3542376494984,228.2966870103013,77.0,0.14536649999990914,10,original
2.0,0.0,266.98325403846553,0.14100229999985459,0.03212934832256774,43.82310314839933,0.07808849999992162,205.6063008975672,283.173316846518,0.11795810000012352,0.49340331714928565,0.7248166438511549,0.13795930000014778,0.0,1533.9032576738384,0.050710500000150205,4.15999174118042,256.0,0.001450100000056409,176.27372829907065,228.36411088171045,116.0,0.06329879999975674,1,original
